"DateTime","Final price","Historical Low"
"2015-01-16 17:50:02",1999,1999
"2015-02-02 05:05:04",1999,1999
"2015-03-27 17:00:09",1999,1999
"2015-04-14 07:10:03",1999,1999
"2015-04-16 21:10:07",59.99,59.99
"2015-04-17 09:48:38",1999,59.99
"2015-06-11 16:45:10",2598,59.99
"2015-06-11 16:50:15",2567.95,59.99
"2015-06-11 17:22:18",1853.56,59.99
"2015-06-22 17:40:33",1999,59.99
"2015-07-24 22:25:05",1339.33,59.99
"2015-07-25 05:00:04",1999,59.99
"2015-08-03 09:25:04",1999,59.99
"2015-10-27 16:40:09",0,
"2015-10-27 16:50:05",1339.33,59.99
"2015-11-03 18:05:19",1999,59.99
"2015-11-10 17:50:07",0,
"2015-11-10 17:55:09",1999,59.99
"2015-11-10 19:35:29",1339.33,59.99
"2015-11-12 18:05:53",1999,59.99
"2015-11-25 19:10:24",1199.4,59.99
"2015-12-01 18:24:20",1999,59.99
"2015-12-03 18:05:34",1199.4,59.99
"2015-12-05 18:05:33",1999,59.99
"2015-12-15 17:55:03",1199.4,59.99
"2015-12-18 18:05:21",1999,59.99
"2015-12-22 20:01:10",1199.4,59.99
"2016-01-04 18:45:05",1999,59.99
"2016-02-05 21:01:06",1339.33,59.99
"2016-02-12 18:35:51",1999,59.99
"2016-03-22 18:00:10",1339.33,59.99
"2016-03-29 17:10:50",1999,59.99
"2016-05-31 17:10:31",1339.33,59.99
"2016-06-06 17:10:32",1999,59.99
"2016-06-23 21:05:33",1199.4,59.99
"2016-07-04 17:43:21",1999,59.99
"2016-07-19 17:10:59",1339.33,59.99
"2016-07-25 17:12:34",1999,59.99
"2016-08-16 17:10:46",1339.33,59.99
"2016-08-23 17:10:42",1999,59.99
"2016-09-22 17:01:13",1339.33,59.99
"2016-09-26 17:15:20",1999,59.99
"2016-10-24 22:00:33",1199.4,59.99
"2016-10-28 17:24:18",1999,59.99
"2016-10-28 17:54:49",1199.4,59.99
"2016-11-01 19:40:12",1999,59.99
"2016-11-23 19:52:29",999.5,59.99
"2016-11-29 21:40:06",1999,59.99
"2016-12-13 18:11:40",999.5,59.99
"2016-12-16 18:21:40",1999,59.99
"2016-12-22 19:21:40",999.5,59.99
"2017-01-02 18:30:45",1999,59.99
"2017-02-14 18:11:06",999.5,59.99
"2017-02-21 18:11:04",1999,59.99
"2017-03-21 17:10:59",999.5,59.99
"2017-03-28 17:10:51",1999,59.99
"2017-05-24 09:20:04",1199.4,59.99
"2017-05-30 18:20:10",1999,59.99
"2017-06-22 21:02:44",999.5,59.99
"2017-07-05 19:47:42",1999,59.99
"2017-08-21 17:20:34",999.5,59.99
"2017-08-25 17:10:20",1999,59.99
